
Center of Image Mass Ch=2 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
43484.6,89866.5,-174.685,um,Surface,2,Center of Image Mass,Image 1,1,ATMgroup,2,
43524.7,89821.3,-195.337,um,Surface,2,Center of Image Mass,Image 1,1,TVCgroup,0,
