
BoundingBoxOO Length
 ==================== 
BoundingBoxOO Length A,BoundingBoxOO Length B,BoundingBoxOO Length C,Unit,Category,Collection,Time,Default Labels,ID,
18.533,26.8155,86.9527,um,Surface,BoundingBoxOO Length,1,ATMgroup,3,
17.8622,29.134,41.1279,um,Surface,BoundingBoxOO Length,1,TVCgroup,0,
