
Cell Distance to Image Border XYZ Img=1
 ==================== 
Cell Distance to Image Border XYZ,Unit,Category,Image,Time,Default Labels,ID,
7.62177,um,Cell,Image 1,1,TVC,0,
8.89207,um,Cell,Image 1,1,TVC,1,
14.3967,um,Cell,Image 1,1,TVC,2,
9.3155,um,Cell,Image 1,1,TVC,3,
23.0664,um,Cell,Image 1,1,ATM,9,
36.8386,um,Cell,Image 1,1,ATM,11,
