
Ellipsoid Axis A
 ==================== 
Ellipsoid Axis A X,Ellipsoid Axis A Y,Ellipsoid Axis A Z,Unit,Category,Collection,Time,Default Labels,ID,
0.157362,0.804042,0.57337,um,Surface,Ellipsoid Axis A,1,ATMgroup,4,
0.945071,0.263469,-0.193455,um,Surface,Ellipsoid Axis A,1,TVCgroup,0,
