
Ellipsoid Axis Length B
 ==================== 
Ellipsoid Axis Length B,Unit,Category,Time,Default Labels,ID,
16.387,um,Surface,1,TVCgroup,0,
11.6819,um,Surface,1,ATMgroup,4,
