
Cell Cytoplasm Volume
 ==================== 
Cell Cytoplasm Volume,Unit,Category,Time,Default Labels,ID,
695.208,um^3,Cell,1,TVC,0,
1457.26,um^3,Cell,1,TVC,1,
1518.31,um^3,Cell,1,TVC,2,
244.6,um^3,Cell,1,TVC,3,
1941.36,um^3,Cell,1,TVC,4,
1343.36,um^3,Cell,1,TVC,5,
1250.26,um^3,Cell,1,TVC,6,
