
BoundingBoxOO Length
 ==================== 
BoundingBoxOO Length A,BoundingBoxOO Length B,BoundingBoxOO Length C,Unit,Category,Collection,Time,Default Labels,ID,
17.9141,28.1328,82.7178,um,Surface,BoundingBoxOO Length,1,ATMgroup,4,
18.228,24.6016,44.7637,um,Surface,BoundingBoxOO Length,1,TVCgroup,0,
