
Cell Ellipticity (oblate)
 ==================== 
Cell Ellipticity (oblate),Unit,Category,Time,Default Labels,ID,
0.314936,,Cell,1,ATM,0,
0.430864,,Cell,1,ATM,1,
0.26195,,Cell,1,TVC,2,
0.514176,,Cell,1,TVC,3,
0.276603,,Cell,1,TVC,4,
0.459714,,Cell,1,TVC,5,
