
Cell Ellipsoid Axis Length B
 ==================== 
Cell Ellipsoid Axis Length B,Unit,Category,Time,Default Labels,ID,
10.5051,um,Cell,1,ATM,0,
10.743,um,Cell,1,ATM,1,
8.72981,um,Cell,1,TVC,2,
9.47663,um,Cell,1,TVC,3,
