
Cell Ellipsoid Axis Length B
 ==================== 
Cell Ellipsoid Axis Length B,Unit,Category,Time,Default Labels,ID,
14.7405,um,Cell,1,ATM,2,
14.7679,um,Cell,1,ATM,3,
8.87768,um,Cell,1,TVC,4,
9.11551,um,Cell,1,TVC,5,
7.49594,um,Cell,1,TVC,6,
8.96029,um,Cell,1,TVC,7,
