
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,Default Labels,ID,
38545.6,73414.9,-59.2287,um,Surface,Position,1,ATMgroup,4,
38590.8,73483.8,-52.5571,um,Surface,Position,1,TVCgroup,0,
