
Ellipsoid Axis Length C
 ==================== 
Ellipsoid Axis Length C,Unit,Category,Time,Default Labels,ID,
16.0514,um,Surface,1,TVCgroup,0,
65.8235,um,Surface,1,ATMgroup,4,
