
Center of Homogeneous Mass
 ==================== 
Center of Homogeneous Mass X,Center of Homogeneous Mass Y,Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
39759.5,79794.7,-82.8544,um,Surface,Center of Homogeneous Mass,1,ATMgroup,3,
39737.4,79833.3,-118.253,um,Surface,Center of Homogeneous Mass,1,TVCgroup,0,
