
Ellipsoid Axis C
 ==================== 
Ellipsoid Axis C X,Ellipsoid Axis C Y,Ellipsoid Axis C Z,Unit,Category,Collection,Time,Default Labels,ID,
-0.920919,-0.386617,0.0493446,um,Surface,Ellipsoid Axis C,1,ATMgroup,4,
0.157793,-0.985253,-0.0661732,um,Surface,Ellipsoid Axis C,1,TVCgroup,0,
