
Ellipsoid Axis B
 ==================== 
Ellipsoid Axis B X,Ellipsoid Axis B Y,Ellipsoid Axis B Z,Unit,Category,Collection,Time,Default Labels,ID,
0.672447,-0.0372551,0.739207,um,Surface,Ellipsoid Axis B,1,ATMgroup,4,
0.227383,0.970127,0.0845586,um,Surface,Ellipsoid Axis B,1,TVCgroup,0,
