
Cell Ellipticity (oblate)
 ==================== 
Cell Ellipticity (oblate),Unit,Category,Time,Default Labels,ID,
0.373751,,Cell,1,ATM,1,
0.325415,,Cell,1,ATM,2,
0.358211,,Cell,1,TVC,4,
0.626997,,Cell,1,TVC,5,
0.333958,,Cell,1,TVC,6,
0.495567,,Cell,1,TVC,9,
