
Cell BoundingBoxAA Length
 ==================== 
Cell BoundingBoxAA Length X,Cell BoundingBoxAA Length Y,Cell BoundingBoxAA Length Z,Unit,Category,Collection,Time,Default Labels,ID,
66.2578,33.0078,22.4416,um,Cell,Cell BoundingBoxAA Length,1,ATM,7,
48.0586,40.125,26.6759,um,Cell,Cell BoundingBoxAA Length,1,ATM,8,
21.3281,17.9297,16.5136,um,Cell,Cell BoundingBoxAA Length,1,TVC,0,
22.1836,15.3672,14.3965,um,Cell,Cell BoundingBoxAA Length,1,TVC,1,
17.918,16.7969,14.8199,um,Cell,Cell BoundingBoxAA Length,1,TVC,2,
14.7852,21.0625,15.2433,um,Cell,Cell BoundingBoxAA Length,1,TVC,3,
