
Cell Ellipsoid Axis Length A
 ==================== 
Cell Ellipsoid Axis Length A,Unit,Category,Time,Default Labels,ID,
6.29158,um,Cell,1,TVC,0,
8.13968,um,Cell,1,ATM,1,
7.49613,um,Cell,1,ATM,2,
6.02616,um,Cell,1,TVC,3,
5.97022,um,Cell,1,TVC,4,
4.59993,um,Cell,1,TVC,5,
