
Cell Cytoplasm Volume
 ==================== 
Cell Cytoplasm Volume,Unit,Category,Time,Default Labels,ID,
722.423,um^3,Cell,1,TVC,0,
652.66,um^3,Cell,1,TVC,1,
1365.32,um^3,Cell,1,TVC,2,
1621.85,um^3,Cell,1,TVC,3,
5952.71,um^3,Cell,1,ATM,4,
3995.94,um^3,Cell,1,ATM,5,
