
Ellipsoid Axis Length B
 ==================== 
Ellipsoid Axis Length B,Unit,Category,Time,Default Labels,ID,
8.87684,um,Surface,1,ATMgroup,0,
16.3075,um,Surface,1,TVCgroup,2,
