
Nucleus Volume
 ==================== 
Nucleus Volume,Unit,Category,Time,Default Labels,CellID,ID,
481.742,um^3,Nucleus,1,ATM,2,100000002,
505.945,um^3,Nucleus,1,ATM,3,100000003,
114.342,um^3,Nucleus,1,TVC,8,100000008,
139.641,um^3,Nucleus,1,TVC,9,100000009,
152.958,um^3,Nucleus,1,TVC,10,100000010,
160.044,um^3,Nucleus,1,TVC,11,100000011,
