
Cell Nucleus to Cytoplasm Volume Ratio
 ==================== 
Cell Nucleus to Cytoplasm Volume Ratio,Unit,Category,Time,Default Labels,ID,
0.111937,,Cell,1,ATM,0,
0.216872,,Cell,1,TVC,1,
0.156695,,Cell,1,TVC,2,
0.0828088,,Cell,1,TVC,3,
0.175356,,Cell,1,TVC,4,
0.401869,,Cell,1,TVC,5,
