
Nucleus Ellipsoid Axis Length B
 ==================== 
Nucleus Ellipsoid Axis Length B,Unit,Category,Time,Default Labels,CellID,ID,
5.76667,um,Nucleus,1,ATM,2,100000000,
5.53761,um,Nucleus,1,ATM,3,100000001,
4.00424,um,Nucleus,1,TVC,4,100000003,
2.51767,um,Nucleus,1,TVC,5,100000004,
3.45501,um,Nucleus,1,TVC,7,100000006,
2.78847,um,Nucleus,1,TVC,9,100000008,
