
BoundingBoxOO Length
 ==================== 
BoundingBoxOO Length A,BoundingBoxOO Length B,BoundingBoxOO Length C,Unit,Category,Collection,Time,Default Labels,ID,
22.4702,24.1289,95.1758,um,Surface,BoundingBoxOO Length,1,ATMgroup,0,
17.6797,28.042,46.5664,um,Surface,BoundingBoxOO Length,1,TVCgroup,2,
