
Center of Homogeneous Mass
 ==================== 
Center of Homogeneous Mass X,Center of Homogeneous Mass Y,Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
37527.8,73152,98.2807,um,Surface,Center of Homogeneous Mass,1,ATMgroup,0,
37454,73183.7,90.391,um,Surface,Center of Homogeneous Mass,1,TVCgroup,2,
