
Ellipsoid Axis B
 ==================== 
Ellipsoid Axis B X,Ellipsoid Axis B Y,Ellipsoid Axis B Z,Unit,Category,Collection,Time,Default Labels,ID,
0.540571,-0.315847,0.779759,um,Surface,Ellipsoid Axis B,1,ATMgroup,0,
-0.278108,-0.27567,-0.920142,um,Surface,Ellipsoid Axis B,1,TVC,2,
