
Nucleus Ellipticity (oblate)
 ==================== 
Nucleus Ellipticity (oblate),Unit,Category,Time,Default Labels,CellID,ID,
0.389961,,Nucleus,1,TVC,0,100000000,
0.578943,,Nucleus,1,TVC,1,100000001,
0.470922,,Nucleus,1,TVC,2,100000002,
0.369842,,Nucleus,1,TVC,3,100000003,
0.4749,,Nucleus,1,ATM,4,100000004,
0.374963,,Nucleus,1,ATM,5,100000005,
