
Cell Ellipticity (oblate)
 ==================== 
Cell Ellipticity (oblate),Unit,Category,Time,Default Labels,ID,
0.383058,,Cell,1,TVC,0,
0.212329,,Cell,1,TVC,1,
0.43347,,Cell,1,TVC,2,
0.372005,,Cell,1,TVC,3,
0.192269,,Cell,1,ATM,4,
0.170467,,Cell,1,ATM,5,
