
Nucleus Relative To Cell Distance from Origin
 ==================== 
Nucleus Relative To Cell Distance from Origin,Unit,Category,Collection,Time,Default Labels,CellID,ID,
6.08698,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,ATM,3,100000003,
9.51821,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,ATM,4,100000004,
2.03109,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,TVC,0,100000000,
2.19951,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,TVC,1,100000001,
3.35426,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,TVC,2,100000002,
2.15148,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,TVC,5,100000005,
