
Ellipsoid Axis C
 ==================== 
Ellipsoid Axis C X,Ellipsoid Axis C Y,Ellipsoid Axis C Z,Unit,Category,Collection,Time,Default Labels,ID,
0.785625,-0.617012,-0.0457146,um,Surface,Ellipsoid Axis C,1,ATMgroup,4,
0.105421,-0.987397,0.118043,um,Surface,Ellipsoid Axis C,1,TVCgroup,0,
