
Nucleus BoundingBoxOO Length
 ==================== 
Nucleus BoundingBoxOO Length A,Nucleus BoundingBoxOO Length B,Nucleus BoundingBoxOO Length C,Unit,Category,Collection,Time,Default Labels,CellID,ID,
7.16092,13.6076,15.0828,um,Nucleus,Nucleus BoundingBoxOO Length,1,ATM,0,100000000,
7.83312,10.9526,13.775,um,Nucleus,Nucleus BoundingBoxOO Length,1,ATM,1,100000001,
3.89878,5.34039,7.51979,um,Nucleus,Nucleus BoundingBoxOO Length,1,TVC,2,100000002,
4.90592,5.74484,7.56793,um,Nucleus,Nucleus BoundingBoxOO Length,1,TVC,3,100000003,
5.69044,7.41289,8.511,um,Nucleus,Nucleus BoundingBoxOO Length,1,TVC,4,100000004,
5.30694,7.5208,8.38546,um,Nucleus,Nucleus BoundingBoxOO Length,1,TVC,5,100000005,
