
Cell Cytoplasm Volume
 ==================== 
Cell Cytoplasm Volume,Unit,Category,Time,Default Labels,ID,
6560.97,um^3,Cell,1,ATM,2,
7136.1,um^3,Cell,1,ATM,3,
2124.61,um^3,Cell,1,TVC,6,
1039.93,um^3,Cell,1,TVC,7,
2130.23,um^3,Cell,1,TVC,9,
1182.2,um^3,Cell,1,TVC,12,
