
Cell Distance to Image Border XYZ Img=1
 ==================== 
Cell Distance to Image Border XYZ,Unit,Category,Image,Time,Default Labels,ID,
2.54059,um,Cell,Image 1,1,TVC,0,
2.96402,um,Cell,Image 1,1,TVC,1,
4.23432,um,Cell,Image 1,1,TVC,2,
3.38745,um,Cell,Image 1,1,TVC,3,
13.9733,um,Cell,Image 1,1,ATM,4,
19.4779,um,Cell,Image 1,1,ATM,5,
