
Nucleus Center of Image Mass Ch=1 Img=1
 ==================== 
Nucleus Center of Image Mass X,Nucleus Center of Image Mass Y,Nucleus Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,CellID,ID,
35848,68054.5,74.0583,um,Nucleus,1,Nucleus Center of Image Mass,Image 1,1,ATM,2,100000002,
35820.4,68047,82.2397,um,Nucleus,1,Nucleus Center of Image Mass,Image 1,1,ATM,3,100000003,
35769.3,67966.9,61.1263,um,Nucleus,1,Nucleus Center of Image Mass,Image 1,1,TVC,0,100000000,
35773.7,67971.6,64.1949,um,Nucleus,1,Nucleus Center of Image Mass,Image 1,1,TVC,1,100000001,
