
Ellipsoid Axis A
 ==================== 
Ellipsoid Axis A X,Ellipsoid Axis A Y,Ellipsoid Axis A Z,Unit,Category,Collection,Time,Default Labels,ID,
0.876721,0.299972,0.376001,um,Surface,Ellipsoid Axis A,1,ATM,2,
0.286134,-0.79726,0.531511,um,Surface,Ellipsoid Axis A,1,TVCgroup,0,
