
Ellipsoid Axis Length C
 ==================== 
Ellipsoid Axis Length C,Unit,Category,Time,Default Labels,ID,
15.5682,um,Surface,1,TVCgroup,0,
48.7512,um,Surface,1,ATMgroup,4,
