
Nucleus Position
 ==================== 
Nucleus Position X,Nucleus Position Y,Nucleus Position Z,Unit,Category,Collection,Time,Default Labels,CellID,ID,
41121.6,102315,68.8583,um,Nucleus,Nucleus Position,1,ATM,2,100000002,
41111.4,102340,69.2759,um,Nucleus,Nucleus Position,1,ATM,3,100000003,
41054.6,102322,64.9836,um,Nucleus,Nucleus Position,1,TVC,0,100000000,
41064.4,102324,65.0285,um,Nucleus,Nucleus Position,1,TVC,1,100000001,
41052.1,102319,72.2519,um,Nucleus,Nucleus Position,1,TVC,4,100000004,
41059.4,102321,74.731,um,Nucleus,Nucleus Position,1,TVC,5,100000005,
