
Nucleus Ellipsoid Axis C
 ==================== 
Nucleus Ellipsoid Axis C X,Nucleus Ellipsoid Axis C Y,Nucleus Ellipsoid Axis C Z,Unit,Category,Collection,Time,Default Labels,CellID,ID,
-0.054365,0.442179,0.895278,um,Nucleus,Nucleus Ellipsoid Axis C,1,ATM,2,100000002,
-0.264981,0.0246247,0.963939,um,Nucleus,Nucleus Ellipsoid Axis C,1,ATM,3,100000003,
-0.00632751,-0.127474,0.991822,um,Nucleus,Nucleus Ellipsoid Axis C,1,TVC,0,100000000,
-0.260655,0.119304,0.958032,um,Nucleus,Nucleus Ellipsoid Axis C,1,TVC,1,100000001,
-0.122538,-0.0591486,0.9907,um,Nucleus,Nucleus Ellipsoid Axis C,1,TVC,4,100000004,
-0.0139554,0.0224636,0.99965,um,Nucleus,Nucleus Ellipsoid Axis C,1,TVC,5,100000005,
