
Nucleus Ellipsoid Axis Length C
 ==================== 
Nucleus Ellipsoid Axis Length C,Unit,Category,Time,Default Labels,CellID,ID,
4.79731,um,Nucleus,1,TVC,0,100000000,
4.83191,um,Nucleus,1,TVC,1,100000001,
5.35379,um,Nucleus,1,TVC,2,100000002,
4.47579,um,Nucleus,1,TVC,3,100000003,
7.20648,um,Nucleus,1,ATM,4,100000004,
6.01457,um,Nucleus,1,ATM,5,100000005,
6.14977,um,Nucleus,1,ATM,6,100000006,
