
Cell Center of Image Mass Ch=1 Img=1
 ==================== 
Cell Center of Image Mass X,Cell Center of Image Mass Y,Cell Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
36408.9,78537,62.3432,um,Cell,1,Cell Center of Image Mass,Image 1,1,ATM,10,
36425.1,78507.2,63.5863,um,Cell,1,Cell Center of Image Mass,Image 1,1,ATM,11,
36366.8,78558.9,29.476,um,Cell,1,Cell Center of Image Mass,Image 1,1,TVC,0,
36379.4,78562.7,28.4101,um,Cell,1,Cell Center of Image Mass,Image 1,1,TVC,1,
36373,78566,27.9768,um,Cell,1,Cell Center of Image Mass,Image 1,1,TVC,2,
36374.2,78556.4,34.2425,um,Cell,1,Cell Center of Image Mass,Image 1,1,TVC,7,
