
Nucleus Ellipsoid Axis B
 ==================== 
Nucleus Ellipsoid Axis B X,Nucleus Ellipsoid Axis B Y,Nucleus Ellipsoid Axis B Z,Unit,Category,Collection,Time,Default Labels,CellID,ID,
-0.7555,0.212436,-0.61975,um,Nucleus,Nucleus Ellipsoid Axis B,1,TVC,1,100000000,
-0.649033,-0.720849,-0.24317,um,Nucleus,Nucleus Ellipsoid Axis B,1,TVC,2,100000001,
-0.31383,0.845429,-0.432159,um,Nucleus,Nucleus Ellipsoid Axis B,1,TVC,7,100000007,
0.221831,-0.947877,-0.228738,um,Nucleus,Nucleus Ellipsoid Axis B,1,TVC,9,100000009,
0.753041,-0.653574,0.0759693,um,Nucleus,Nucleus Ellipsoid Axis B,1,TVC,10,100000010,
0.421784,-0.901655,-0.0954778,um,Nucleus,Nucleus Ellipsoid Axis B,1,TVC,11,100000011,
0.372978,0.927295,-0.0318068,um,Nucleus,Nucleus Ellipsoid Axis B,1,TVC,12,100000012,
-0.0475658,-0.996952,-0.0618441,um,Nucleus,Nucleus Ellipsoid Axis B,1,TVC,14,100000014,
