
Nucleus Ellipticity (oblate)
 ==================== 
Nucleus Ellipticity (oblate),Unit,Category,Time,Default Labels,CellID,ID,
0.731651,,Nucleus,1,TVC,0,100000000,
0.402584,,Nucleus,1,TVC,1,100000001,
0.665347,,Nucleus,1,TVC,2,100000002,
0.542111,,Nucleus,1,TVC,3,100000003,
0.421885,,Nucleus,1,ATM,4,100000004,
0.406199,,Nucleus,1,ATM,5,100000005,
