
Nucleus Position
 ==================== 
Nucleus Position X,Nucleus Position Y,Nucleus Position Z,Unit,Category,Collection,Time,Default Labels,CellID,ID,
39508.2,81169.9,23.3868,um,Nucleus,Nucleus Position,1,ATM,8,100000008,
39522.7,81126,28.2651,um,Nucleus,Nucleus Position,1,ATM,11,100000011,
39455.2,81199.1,17.1195,um,Nucleus,Nucleus Position,1,TVC,2,100000002,
39460,81192.6,17.1078,um,Nucleus,Nucleus Position,1,TVC,4,100000004,
39449.4,81189.2,19.6056,um,Nucleus,Nucleus Position,1,TVC,6,100000006,
39459.1,81183.6,19.3464,um,Nucleus,Nucleus Position,1,TVC,7,100000007,
