
Center of Image Mass Ch=2 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
41116.6,102327,69.6192,um,Surface,2,Center of Image Mass,Image 1,1,ATMgroup,0,
41057.4,102322,68.6221,um,Surface,2,Center of Image Mass,Image 1,1,TVCgroup,2,
