
Cell Sphericity
 ==================== 
Cell Sphericity,Unit,Category,Time,Default Labels,ID,
0.4847,,Cell,1,TVC,0,
0.452367,,Cell,1,TVC,1,
0.472039,,Cell,1,TVC,4,
0.402402,,Cell,1,TVC,6,
0.447081,,Cell,1,ATM,10,
0.411067,,Cell,1,ATM,11,
