
BoundingBoxAA Length
 ==================== 
BoundingBoxAA Length X,BoundingBoxAA Length Y,BoundingBoxAA Length Z,Unit,Category,Collection,Time,Default Labels,ID,
48.7227,92.6094,19.4779,um,Surface,BoundingBoxAA Length,1,ATMgroup,0,
37.3242,19.0898,25.8293,um,Surface,BoundingBoxAA Length,1,TVCgroup,2,
