
Center of Image Mass Ch=2 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
41774.1,72787.8,37.9332,um,Surface,2,Center of Image Mass,Image 1,1,ATMgroup,3,
41704.5,72833.3,51.6917,um,Surface,2,Center of Image Mass,Image 1,1,TVCgroup,0,
