
Cell Distance to Image Border XY Img=1
 ==================== 
Cell Distance to Image Border XY,Unit,Category,Image,Time,Default Labels,ID,
42.8828,um,Cell,Image 1,1,TVC,3,
37.7656,um,Cell,Image 1,1,TVC,4,
38.9062,um,Cell,Image 1,1,TVC,5,
45.1562,um,Cell,Image 1,1,TVC,6,
19.875,um,Cell,Image 1,1,ATM,7,
26.4141,um,Cell,Image 1,1,ATM,8,
