
Center of Image Mass Ch=2 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
34127,53675,95.0487,um,Surface,2,Center of Image Mass,Image 1,1,ATMgroup,3,
34193.3,53633.8,121.9,um,Surface,2,Center of Image Mass,Image 1,1,TVCgroup,0,
