
Ellipsoid Axis C
 ==================== 
Ellipsoid Axis C X,Ellipsoid Axis C Y,Ellipsoid Axis C Z,Unit,Category,Collection,Time,Default Labels,ID,
0.303452,-0.951788,0.0449179,um,Surface,Ellipsoid Axis C,1,ATMgroup,0,
-0.465349,-0.139303,0.874097,um,Surface,Ellipsoid Axis C,1,TVCgroup,3,
