
Ellipsoid Axis C
 ==================== 
Ellipsoid Axis C X,Ellipsoid Axis C Y,Ellipsoid Axis C Z,Unit,Category,Collection,Time,Default Labels,ID,
-0.40557,-0.880284,0.246196,um,Surface,Ellipsoid Axis C,1,ATMgroup,3,
0.604999,-0.0177047,0.79603,um,Surface,Ellipsoid Axis C,1,TVCgroup,0,
