
Nucleus Ellipsoid Axis Length A
 ==================== 
Nucleus Ellipsoid Axis Length A,Unit,Category,Time,Default Labels,CellID,ID,
2.49048,um,Nucleus,1,TVC,0,100000000,
3.19241,um,Nucleus,1,TVC,1,100000001,
2.15243,um,Nucleus,1,TVC,2,100000002,
2.77405,um,Nucleus,1,TVC,3,100000003,
3.22402,um,Nucleus,1,ATM,4,100000004,
3.54144,um,Nucleus,1,ATM,5,100000005,
