
Nucleus Ellipsoid Axis A
 ==================== 
Nucleus Ellipsoid Axis A X,Nucleus Ellipsoid Axis A Y,Nucleus Ellipsoid Axis A Z,Unit,Category,Collection,Time,Default Labels,CellID,ID,
0.56697,-0.807545,0.16253,um,Nucleus,Nucleus Ellipsoid Axis A,1,TVC,4,100000001,
0.0394162,0.990884,-0.128823,um,Nucleus,Nucleus Ellipsoid Axis A,1,TVC,6,100000003,
0.585833,-0.783054,0.20887,um,Nucleus,Nucleus Ellipsoid Axis A,1,TVC,7,100000004,
0.493272,-0.869431,0.0277757,um,Nucleus,Nucleus Ellipsoid Axis A,1,TVC,8,100000005,
-0.749351,-0.539586,0.383823,um,Nucleus,Nucleus Ellipsoid Axis A,1,TVC,9,100000006,
-0.058396,0.980646,-0.186877,um,Nucleus,Nucleus Ellipsoid Axis A,1,TVC,11,100000008,
0.769618,0.629656,-0.105929,um,Nucleus,Nucleus Ellipsoid Axis A,1,TVC,13,100000010,
