
Cell Ellipticity (oblate)
 ==================== 
Cell Ellipticity (oblate),Unit,Category,Time,Default Labels,ID,
0.535758,,Cell,1,TVC,0,
0.419573,,Cell,1,TVC,1,
0.523463,,Cell,1,TVC,2,
0.575702,,Cell,1,TVC,3,
0.240085,,Cell,1,ATM,4,
0.24579,,Cell,1,ATM,5,
