
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,Default Labels,ID,
36733.1,101633,143.432,um,Surface,Position,1,ATM,1,
36728.6,101595,154.254,um,Surface,Position,1,TVCgroup,0,
