
BoundingBoxAA Length
 ==================== 
BoundingBoxAA Length X,BoundingBoxAA Length Y,BoundingBoxAA Length Z,Unit,Category,Collection,Time,Default Labels,ID,
60.207,56.4922,25.8584,um,Surface,BoundingBoxAA Length,1,ATMgroup,0,
20.2539,34.2383,32.217,um,Surface,BoundingBoxAA Length,1,TVCgroup,2,
