
Center of Homogeneous Mass
 ==================== 
Center of Homogeneous Mass X,Center of Homogeneous Mass Y,Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
47290.3,92986.8,-2.96418,um,Surface,Center of Homogeneous Mass,1,ATMgroup,2,
47292,92936.1,36.1833,um,Surface,Center of Homogeneous Mass,1,TVCgroup,0,
