"","TVC.division","TVC.migration","ATM.division","ATM.migration","other"
"Depdc.image3_right.2020_06_17","WT","WT","enhanced","enhanced","WT"
"Depdc.image3.2020_01_10","WT","WT","WT","WT","WT"
"Depdc.image3.2020_06_17","WT","WT","WT","WT","TVC alignment"
"Depdc.image4_left.2020_06_17","WT","WT","WT","WT","WT"
"Depdc.image4_right.2020_06_17","WT","inhibited","WT","WT","WT"
"Depdc.image4.2020_01_10","WT","WT","WT","WT","TVC alignment"
"Depdc.image5_left.2020_01_10","WT","WT","WT","WT","WT"
"Depdc.image5_right.2020_01_10","WT","WT","WT","WT","WT"
"Depdc.image5.2020_06_17","WT","WT","enhanced","enhanced","TVC alignment"
"Depdc.image6_left.2020_06_17","WT","WT","enhanced","enhanced","TVC alignment"
"Depdc.image6_right.2020_06_17","WT","WT","WT","WT","WT"
"Depdc.image6.2020_01_10","WT","WT","WT","WT","TVC alignment"
"Depdc.image6.2020_06_17","WT","WT","enhanced","enhanced","WT"
"Depdc.image7_left.2020_01_10","WT","WT","WT","WT","WT"
"Depdc.image7_right.2020_01_10","WT","WT","WT","WT","WT"
"Depdc.image7_right.2020_06_17","inhibited","WT","WT","WT","WT"
"Depdc.image8_left.2020_01_10","WT","WT","WT","WT","WT"
"Depdc.image8_left.2020_06_17","WT","WT","enhanced","WT","WT"
"Depdc.image8_right.2020_01_10","WT","WT","WT","WT","WT"
"Depdc.image8_right.2020_06_17","inhibited","WT","WT","WT","WT"
"Depdc.image9_left.2020_01_10","WT","WT","WT","WT","TVC alignment"
"Depdc.image9_right.2020_01_10","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image1.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image1.2020_10_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image10.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image10.2020_02_06","WT","WT","WT","WT","WT"
"Depdc.slide1_image11.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image11.2020_02_06","WT","inhibited","WT","WT","TVC alignment"
"Depdc.slide1_image12.2019_08_29","WT","WT","WT","WT","WT"
"Depdc.slide1_image12.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image13.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image13.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image14_left.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image14_right.2019_08_29","WT","WT","WT","WT","WT"
"Depdc.slide1_image14.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image15_left.2020_02_06","WT","WT","WT","WT","WT"
"Depdc.slide1_image15_right.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image15.2019_08_29","WT","WT","WT","WT","WT"
"Depdc.slide1_image16_left.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image16_left.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image16_right.2019_08_29","WT","WT","WT","WT","WT"
"Depdc.slide1_image16_right.2020_02_06","WT","WT","WT","WT","WT"
"Depdc.slide1_image17_left.2020_02_06","WT","WT","WT","WT","WT"
"Depdc.slide1_image17_right.2020_02_06","WT","WT","WT","WT","WT"
"Depdc.slide1_image17.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image18_left.2020_02_06","WT","WT","WT","WT","WT"
"Depdc.slide1_image18_right.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image18.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image19_left.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image19_right.2020_02_06","WT","WT","WT","WT","WT"
"Depdc.slide1_image19.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image2.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image2.2020_10_06","WT","WT","WT","WT","WT"
"Depdc.slide1_image20_left.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image20_left.2020_02_06","WT","WT","WT","WT","WT"
"Depdc.slide1_image20_right.2019_08_29","WT","WT","WT","WT","WT"
"Depdc.slide1_image20_right.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image21_left.2019_08_29","WT","WT","WT","WT","WT"
"Depdc.slide1_image21_right.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image22.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image23_right.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image24_left.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image24_right.2019_08_29","WT","WT","WT","WT","WT"
"Depdc.slide1_image25_left.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image25_right.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image3_left.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image3_left.2020_10_06","WT","WT","WT","WT","WT"
"Depdc.slide1_image3_right.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image3_right.2020_10_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image3.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image4_left.2020_02_06","WT","WT","WT","WT","WT"
"Depdc.slide1_image4_right.2020_02_06","WT","WT","WT","WT","WT"
"Depdc.slide1_image4.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image4.2020_10_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image5_right.2020_10_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image5.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image5.2020_02_06","WT","WT","WT","WT","WT"
"Depdc.slide1_image6.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image6.2020_02_06","WT","WT","WT","WT","WT"
"Depdc.slide1_image6.2020_10_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image7_left.2020_02_06","WT","WT","WT","WT","WT"
"Depdc.slide1_image7_left.2020_10_06","WT","WT","WT","WT","WT"
"Depdc.slide1_image7_right.2019_08_29","WT","WT","WT","WT","WT"
"Depdc.slide1_image7_right.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image8_left.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image8_left.2020_02_06","WT","WT","WT","enhanced","TVC alignment"
"Depdc.slide1_image8_left.2020_10_06","WT","WT","WT","WT","WT"
"Depdc.slide1_image8_right.2019_08_29","WT","WT","WT","WT","WT"
"Depdc.slide1_image8_right.2020_02_06","WT","WT","WT","WT","WT"
"Depdc.slide1_image8_right.2020_10_06","WT","WT","WT","WT","WT"
"Depdc.slide1_image9_left.2019_08_29","WT","WT","WT","WT","WT"
"Depdc.slide1_image9.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide1_image9.2020_10_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image1.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image1.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image1.2020_10_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image10_left.2020_02_06","WT","WT","WT","WT","WT"
"Depdc.slide2_image10_right.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image10_right.2020_02_06","WT","WT","WT","WT","WT"
"Depdc.slide2_image11_left.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image11_right.2020_02_06","WT","WT","WT","WT","WT"
"Depdc.slide2_image11.2019_08_29","WT","WT","WT","WT","TVC disposition"
"Depdc.slide2_image12_left.2019_08_29","WT","WT","WT","WT","WT"
"Depdc.slide2_image12_left.2020_02_06","WT","WT","WT","WT","WT"
"Depdc.slide2_image12_right.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image12_right.2020_02_06","WT","WT","WT","WT","WT"
"Depdc.slide2_image13.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image14.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image15.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image16.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image17.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image19_left.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image2_left.2019_08_29","WT","WT","WT","WT","WT"
"Depdc.slide2_image2_left.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image2_left.2020_10_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image2_right.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image2_right.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image2_right.2020_10_06","WT","WT","WT","WT","WT"
"Depdc.slide2_image20.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image21.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image3_left.2020_10_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image3_right.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image3_right.2020_10_06","WT","WT","WT","WT","WT"
"Depdc.slide2_image3.2020_02_06","WT","WT","WT","WT","WT"
"Depdc.slide2_image4.2020_02_06","WT","WT","WT","WT","WT"
"Depdc.slide2_image4.2020_10_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image5_left.2020_02_06","WT","WT","WT","WT","WT"
"Depdc.slide2_image5_left.2020_10_06","inhibited","WT","WT","WT","WT"
"Depdc.slide2_image5_right.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image5_right.2020_10_06","WT","WT","WT","WT","WT"
"Depdc.slide2_image5.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image6.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image6.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image6.2020_10_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image7_left.2020_02_06","WT","WT","WT","WT","WT"
"Depdc.slide2_image7_left.2020_10_06","WT","WT","WT","WT","WT"
"Depdc.slide2_image7_right.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image7_right.2020_10_06","WT","WT","WT","WT","WT"
"Depdc.slide2_image7.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image8.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image8.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Depdc.slide2_image9.2019_08_29","WT","WT","WT","WT","WT"
"Depdc.slide2_image9.2020_02_06","WT","inhibited","WT","WT","TVC alignment"
"Dync2h.image1_right.2020_06_17","WT","WT","WT","WT","WT"
"Dync2h.image10.2020_06_17","WT","WT","WT","WT","WT"
"Dync2h.image11_left.2020_06_17","WT","WT","WT","WT","WT"
"Dync2h.image11_right.2020_06_17","WT","WT","WT","WT","WT"
"Dync2h.image12.2020_06_17","inhibited","WT","WT","WT","WT"
"Dync2h.image13.2020_06_17","inhibited","WT","WT","enhanced","WT"
"Dync2h.image17.2020_06_17","WT","WT","WT","enhanced","WT"
"Dync2h.image18.2020_06_17","inhibited","WT","WT","WT","WT"
"Dync2h.image19_left.2020_06_17","inhibited","WT","WT","WT","WT"
"Dync2h.image19_right.2020_06_17","WT","WT","WT","WT","WT"
"Dync2h.image2.2020_06_17","WT","WT","WT","WT","WT"
"Dync2h.image20_left.2020_06_17","WT","inhibited","WT","WT","WT"
"Dync2h.image20_right.2020_06_17","WT","WT","enhanced","enhanced","WT"
"Dync2h.image3_left.2020_06_17","inhibited","inhibited","WT","WT","WT"
"Dync2h.image3_right.2020_06_17","inhibited","inhibited","WT","WT","WT"
"Dync2h.image4_left.2020_06_17","inhibited","inhibited","WT","WT","WT"
"Dync2h.image4_right.2020_06_17","inhibited","WT","WT","enhanced","WT"
"Dync2h.image5.2020_06_17","inhibited","inhibited","WT","WT","WT"
"Dync2h.image6.2020_06_17","inhibited","inhibited","WT","WT","WT"
"Dync2h.image7.2020_06_17","WT","WT","WT","WT","WT"
"Dync2h.image8.2020_06_17","WT","WT","WT","enhanced","WT"
"Dync2h.image9_left.2020_06_17","inhibited","inhibited","WT","WT","WT"
"Dync2h.image9_right.2020_06_17","WT","WT","WT","WT","WT"
"Dync2h.slide1_image1_left.2020_10_07","inhibited","inhibited","WT","WT","WT"
"Dync2h.slide1_image1_right.2020_10_07","WT","WT","enhanced","enhanced","WT"
"Dync2h.slide1_image10.2020_10_07","WT","WT","WT","WT","WT"
"Dync2h.slide1_image11_left.2020_10_07","WT","WT","WT","WT","WT"
"Dync2h.slide1_image11_right.2020_10_07","inhibited","WT","WT","WT","WT"
"Dync2h.slide1_image14.2020_10_07","inhibited","inhibited","WT","WT","WT"
"Dync2h.slide1_image2.2020_10_07","inhibited","WT","WT","WT","WT"
"Dync2h.slide1_image21.2020_10_07","WT","WT","WT","WT","WT"
"Dync2h.slide1_image23.2020_10_07","inhibited","WT","WT","WT","WT"
"Dync2h.slide1_image27_left.2020_10_07","WT","WT","enhanced","enhanced","WT"
"Dync2h.slide1_image27_right.2020_10_07","WT","WT","enhanced","enhanced","WT"
"Dync2h.slide1_image5.2020_10_07","WT","WT","WT","WT","WT"
"Dync2h.slide1_image7_right.2020_10_07","WT","WT","WT","WT","WT"
"Dync2h.slide1_image8.2020_10_07","inhibited","WT","WT","WT","WT"
"Dync2h.slide2_image10.2020_10_07","WT","WT","WT","WT","WT"
"Dync2h.slide2_image11.2020_10_07","WT","inhibited","WT","WT","WT"
"Dync2h.slide2_image12.2020_10_07","WT","WT","WT","WT","WT"
"Dync2h.slide2_image13.2020_10_07","WT","WT","WT","WT","WT"
"Dync2h.slide2_image16.2020_10_07","WT","WT","WT","WT","TVC alignment"
"Dync2h.slide2_image18_left.2020_10_07","inhibited","WT","WT","enhanced","WT"
"Dync2h.slide2_image19.2020_10_07","WT","WT","WT","WT","WT"
"Dync2h.slide2_image2.2020_10_07","WT","WT","WT","WT","WT"
"Dync2h.slide2_image20_left.2020_10_07","WT","WT","WT","WT","WT"
"Dync2h.slide2_image20_right.2020_10_07","WT","WT","WT","enhanced","WT"
"Dync2h.slide2_image22_left.2020_10_07","WT","WT","WT","WT","WT"
"Dync2h.slide2_image22_right.2020_10_07","WT","WT","WT","WT","WT"
"Dync2h.slide2_image3.2020_10_07","WT","WT","WT","WT","WT"
"Dync2h.slide2_image5.2020_10_07","WT","WT","WT","WT","WT"
"Dync2h.slide2_image8_left.2020_10_07","inhibited","inhibited","WT","WT","WT"
"Dync2h.slide2_image9.2020_10_07","WT","inhibited","WT","WT","WT"
"EPB4.1.image1.2020_06_17","WT","WT","enhanced","enhanced","WT"
"EPB4.1.image10_right.2020_06_17","inhibited","WT","enhanced","WT","WT"
"EPB4.1.image11.2020_06_17","inhibited","WT","WT","WT","WT"
"EPB4.1.image12.2020_06_17","inhibited","WT","enhanced","WT","WT"
"EPB4.1.image2.2020_06_17","inhibited","WT","WT","WT","WT"
"EPB4.1.image3.2020_06_17","inhibited","WT","WT","enhanced","WT"
"EPB4.1.image4.2020_06_17","inhibited","WT","WT","enhanced","WT"
"EPB4.1.image5.2020_06_17","inhibited","WT","WT","enhanced","WT"
"EPB4.1.image6.2020_06_17","WT","WT","WT","WT","WT"
"EPB4.1.image7.2020_06_17","inhibited","WT","WT","WT","WT"
"EPB4.1.image8.2020_06_17","inhibited","WT","enhanced","enhanced","WT"
"EPB4.1.image9_left.2020_06_17","WT","WT","WT","enhanced","WT"
"EPB4.1.image9_right.2020_06_17","WT","WT","WT","WT","WT"
"Eph.image1.2020_06_17","WT","WT","WT","WT","WT"
"Eph.image10_left.2020_06_17","inhibited","WT","enhanced","enhanced","WT"
"Eph.image10_right.2020_06_17","WT","WT","WT","WT","WT"
"Eph.image11.2020_06_17","enhanced","WT","WT","WT","TVC alignment"
"Eph.image12_left.2020_06_17","WT","WT","WT","WT","WT"
"Eph.image12_right.2020_06_17","inhibited","WT","WT","WT","WT"
"Eph.image13.2020_06_17","WT","WT","WT","enhanced","WT"
"Eph.image14.2020_06_17","WT","WT","WT","WT","WT"
"Eph.image15.2020_06_17","inhibited","WT","WT","WT","WT"
"Eph.image16.2020_06_17","WT","WT","WT","WT","WT"
"Eph.image17_left.2020_06_17","WT","WT","WT","WT","WT"
"Eph.image17_right.2020_06_17","WT","WT","WT","WT","WT"
"Eph.image18_left.2020_06_17","WT","WT","WT","WT","WT"
"Eph.image18_right.2020_06_17","WT","WT","WT","WT","WT"
"Eph.image2.2020_06_17","WT","WT","WT","WT","WT"
"Eph.image20.2020_06_17","WT","WT","WT","WT","WT"
"Eph.image3.2020_06_17","WT","WT","WT","WT","WT"
"Eph.image4.2020_06_17","WT","WT","WT","enhanced","TVC alignment"
"Eph.image5.2020_06_17","enhanced","WT","WT","enhanced","WT"
"Eph.image6.2020_06_17","WT","WT","WT","WT","WT"
"Eph.image8.2020_06_17","WT","WT","enhanced","enhanced","TVC alignment"
"Eph.image9.2020_06_17","WT","WT","WT","enhanced","WT"
"Eph.slide1_image1_left.2020_02_06","WT","WT","enhanced","WT","WT"
"Eph.slide1_image1_right.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide1_image10.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide1_image11.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide1_image12_right.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide1_image14.2020_02_06","WT","WT","WT","WT","TVC alignment"
"Eph.slide1_image15.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide1_image16.2020_02_06","WT","WT","enhanced","enhanced","WT"
"Eph.slide1_image17_left.2020_02_06","WT","inhibited","WT","WT","WT"
"Eph.slide1_image18_left.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide1_image19_left.2020_02_06","WT","WT","WT","enhanced","WT"
"Eph.slide1_image19_right.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide1_image2.2020_02_06","inhibited","WT","WT","enhanced","WT"
"Eph.slide1_image20_left.2020_02_06","WT","WT","enhanced","WT","WT"
"Eph.slide1_image20_right.2020_02_06","inhibited","WT","WT","WT","WT"
"Eph.slide1_image22_left.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide1_image22_right.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide1_image23.2020_02_06","WT","WT","WT","enhanced","WT"
"Eph.slide1_image24.2020_02_06","WT","WT","enhanced","enhanced","WT"
"Eph.slide1_image25_left.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide1_image25_right.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide1_image26_left.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide1_image27.2020_02_06","inhibited","inhibited","WT","WT","WT"
"Eph.slide1_image29_left.2020_02_06","inhibited","inhibited","WT","WT","WT"
"Eph.slide1_image29_right.2020_02_06","WT","WT","WT","enhanced","WT"
"Eph.slide1_image3.2020_02_06","WT","WT","enhanced","enhanced","WT"
"Eph.slide1_image30.2020_02_06","inhibited","WT","WT","WT","WT"
"Eph.slide1_image31_left.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide1_image31_right.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide1_image32.2020_02_06","inhibited","inhibited","WT","WT","WT"
"Eph.slide1_image33_left.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide1_image33_right.2020_02_06","WT","WT","WT","enhanced","WT"
"Eph.slide1_image35.2020_02_06","WT","WT","WT","enhanced","TVC alignment"
"Eph.slide1_image36.2020_02_06","WT","WT","enhanced","enhanced","WT"
"Eph.slide1_image37.2020_02_06","WT","WT","enhanced","enhanced","WT"
"Eph.slide1_image4.2020_02_06","WT","WT","enhanced","enhanced","WT"
"Eph.slide1_image5_left.2020_02_06","inhibited","inhibited","WT","WT","WT"
"Eph.slide1_image5_right.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide1_image6.2020_02_06","WT","WT","enhanced","enhanced","WT"
"Eph.slide1_image7_left.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide1_image7_right.2020_02_06","inhibited","WT","WT","WT","WT"
"Eph.slide1_image8_right.2020_02_06","WT","WT","enhanced","enhanced","WT"
"Eph.slide1_image9_left.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide1_image9_right.2020_02_06","WT","WT","enhanced","enhanced","WT"
"Eph.slide2_image1_left.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide2_image1_right.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide2_image10.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide2_image11_left.2020_02_06","WT","WT","WT","enhanced","WT"
"Eph.slide2_image12_right.2020_02_06","WT","WT","enhanced","enhanced","WT"
"Eph.slide2_image13.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide2_image14_left.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide2_image14_right.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide2_image18.2020_02_06","inhibited","WT","enhanced","WT","WT"
"Eph.slide2_image19_left.2020_02_06","inhibited","WT","WT","WT","WT"
"Eph.slide2_image19_right.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide2_image2_left.2020_02_06","inhibited","inhibited","enhanced","WT","WT"
"Eph.slide2_image2_right.2020_02_06","WT","WT","enhanced","enhanced","WT"
"Eph.slide2_image20.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide2_image21.2020_02_06","inhibited","inhibited","WT","WT","WT"
"Eph.slide2_image22_left.2020_02_06","WT","WT","enhanced","enhanced","WT"
"Eph.slide2_image22_right.2020_02_06","WT","WT","enhanced","enhanced","WT"
"Eph.slide2_image23_left.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide2_image23_right.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide2_image24.2020_02_06","WT","WT","enhanced","enhanced","WT"
"Eph.slide2_image25_left.2020_02_06","WT","WT","enhanced","enhanced","WT"
"Eph.slide2_image25_right.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide2_image26_left.2020_02_06","WT","WT","enhanced","enhanced","WT"
"Eph.slide2_image26_right.2020_02_06","inhibited","WT","WT","enhanced","WT"
"Eph.slide2_image27_left.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide2_image27_right.2020_02_06","inhibited","inhibited","WT","WT","WT"
"Eph.slide2_image28_left.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide2_image28_right.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide2_image3.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide2_image4_left.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide2_image4_right.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide2_image5.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide2_image6.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide2_image7.2020_02_06","WT","WT","WT","WT","WT"
"Eph.slide2_image9.2020_02_06","WT","WT","WT","WT","TVC disposition"
"Ets.slide1_image1.2020_10_06","WT","WT","WT","WT","TVC alignment"
"Ets.slide1_image10_left.2020_10_06","inhibited","WT","WT","enhanced","WT"
"Ets.slide1_image11.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide1_image12.2020_10_06","WT","WT","WT","WT","WT"
"Ets.slide1_image13.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide1_image14.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide1_image15.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide1_image16.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide1_image17.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide1_image18_left.2020_10_06","WT","WT","WT","WT","WT"
"Ets.slide1_image18_right.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide1_image19.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide1_image2.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide1_image21_right.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide1_image22.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide1_image23.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide1_image24.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide1_image25.2020_10_06","WT","WT","WT","WT","TVC disposition"
"Ets.slide1_image26.2020_10_06","WT","inhibited","WT","WT","WT"
"Ets.slide1_image27.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide1_image28.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide1_image29.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide1_image3_left.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide1_image3_right.2020_10_06","WT","WT","WT","WT","WT"
"Ets.slide1_image30.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide1_image31_left.2020_10_06","WT","WT","WT","WT","WT"
"Ets.slide1_image31_right.2020_10_06","WT","WT","WT","WT","WT"
"Ets.slide1_image32_right.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide1_image33_right.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide1_image35.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide1_image36.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide1_image37.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide1_image38.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide1_image39_left.2020_10_06","inhibited","WT","enhanced","enhanced","WT"
"Ets.slide1_image39_right.2020_10_06","WT","WT","WT","WT","WT"
"Ets.slide1_image4.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide1_image40_left.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide1_image40_right.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide1_image42_left.2020_10_06","WT","WT","WT","enhanced","WT"
"Ets.slide1_image42_right.2020_10_06","WT","WT","WT","WT","WT"
"Ets.slide1_image43.2020_10_06","WT","WT","WT","WT","WT"
"Ets.slide1_image44_left.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide1_image45.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide1_image46_right.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide1_image47_left.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide1_image47_right.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide1_image48.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide1_image49.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide1_image5.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide1_image50_right.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide1_image51.2020_10_06","WT","inhibited","WT","WT","WT"
"Ets.slide1_image6.2020_10_06","WT","WT","WT","WT","WT"
"Ets.slide1_image7.2020_10_06","inhibited","inhibited","WT","WT","WT"
"Ets.slide1_image8_left.2020_10_06","inhibited","WT","WT","WT","WT"
"Ets.slide1_image8_right.2020_10_06","inhibited","WT","WT","WT","WT"
