"","TVC.division","TVC.migration","ATM.division","ATM.migration","other"
"ADF.Cofilin.slide2_image14_right.2019_08_29","WT","WT","WT","WT","WT"
"ADF.Cofilin.slide2_image15.2019_08_29","inhibited","WT","enhanced","WT","WT"
"ADF.Cofilin.slide2_image16.2019_08_29","inhibited","WT","WT","WT","WT"
"ADF.Cofilin.slide2_image17_left.2019_08_29","inhibited","WT","WT","enhanced","WT"
"ADF.Cofilin.slide2_image17_right.2019_08_29","inhibited","WT","WT","enhanced","WT"
"ADF.Cofilin.slide2_image18.2019_08_29","inhibited","WT","WT","WT","WT"
"ADF.Cofilin.slide2_image19.2019_08_29","WT","WT","enhanced","enhanced","WT"
"ADF.Cofilin.slide2_image2_left.2019_08_29","inhibited","WT","WT","WT","WT"
"ADF.Cofilin.slide2_image2_right.2019_08_29","inhibited","WT","WT","WT","WT"
"ADF.Cofilin.slide2_image20.2019_08_29","WT","WT","WT","WT","WT"
"ADF.Cofilin.slide2_image21.2019_08_29","inhibited","WT","WT","WT","WT"
"ADF.Cofilin.slide2_image22.2019_08_29","inhibited","WT","WT","WT","WT"
"ADF.Cofilin.slide2_image23_left.2019_08_29","WT","WT","enhanced","enhanced","WT"
"ADF.Cofilin.slide2_image23_right.2019_08_29","inhibited","WT","WT","WT","TVC alignment"
"ADF.Cofilin.slide2_image25.2019_08_29","WT","WT","WT","WT","WT"
"ADF.Cofilin.slide2_image26_left.2019_08_29","inhibited","WT","WT","enhanced","WT"
"ADF.Cofilin.slide2_image27.2019_08_29","WT","WT","WT","WT","WT"
"ADF.Cofilin.slide2_image28.2019_08_29","WT","WT","WT","WT","WT"
"ADF.Cofilin.slide2_image29_right.2019_08_29","WT","WT","WT","WT","WT"
"ADF.Cofilin.slide2_image30.2019_08_29","inhibited","WT","WT","enhanced","WT"
"ADF.Cofilin.slide2_image31_left.2019_08_29","WT","WT","WT","WT","WT"
"ADF.Cofilin.slide2_image32_left.2019_08_29","WT","WT","WT","WT","WT"
"ADF.Cofilin.slide2_image32_right.2019_08_29","WT","WT","WT","enhanced","WT"
"ADF.Cofilin.slide2_image33_left.2019_08_29","WT","WT","WT","WT","WT"
"ADF.Cofilin.slide2_image4_left.2019_08_29","inhibited","WT","WT","WT","WT"
"ADF.Cofilin.slide2_image4_right.2019_08_29","WT","WT","WT","WT","WT"
"ADF.Cofilin.slide2_image5.2019_08_29","inhibited","WT","WT","enhanced","WT"
"ADF.Cofilin.slide2_image6.2019_08_29","inhibited","inhibited","WT","WT","WT"
"ADF.Cofilin.slide2_image7.2019_08_29","inhibited","WT","WT","WT","WT"
"ADF.Cofilin.slide2_image8.2019_08_29","inhibited","WT","WT","enhanced","WT"
"ADF.Cofilin.slide2_image9_left.2019_08_29","WT","WT","WT","WT","WT"
"ADF.Cofilin.slide2_image9_right.2019_08_29","WT","WT","WT","WT","WT"
"Arhgef8.image1_left.2020_01_10","WT","WT","WT","WT","TVC alignment"
"Arhgef8.image1_right.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.image10_left.2020_01_10","WT","WT","WT","WT","TVC alignment"
"Arhgef8.image10_right.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.image11_left.2020_01_10","WT","WT","WT","WT","TVC alignment"
"Arhgef8.image11_right.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.image12.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.image13_left.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.image13_right.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.image14.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.image15.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.image16.2020_01_10","inhibited","inhibited","WT","WT","WT"
"Arhgef8.image17_left.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.image17_right.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.image18.2020_01_10","WT","WT","WT","WT","TVC alignment"
"Arhgef8.image19.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.image2_left.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.image2_right.2020_01_10","WT","WT","WT","WT","TVC alignment"
"Arhgef8.image3_left.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.image3_right.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.image4_left.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.image4_right.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.image5.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.image6.2020_01_10","WT","WT","WT","WT","TVC alignment"
"Arhgef8.image7.2020_01_10","WT","WT","WT","WT","TVC disposition"
"Arhgef8.image8.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.image9.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.nextpart_image1_left.2020_01_10","WT","WT","WT","WT","WT"
"Arhgef8.nextpart_image1_right.2020_01_10","WT","WT","WT","WT","WT"
