Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
-0.22910394,-0.60448724,0.86700094,-0.8590454,0.8844639,-0.03582694,0.58280665,0.2702505,0.9694496,0.9458142,-0.22586834,0.20840481,-0.86193633,0.1536813
-0.63175124,0.3451345,-0.50634605,-0.8558762,0.9169246,0.73586905,0.008424119,0.57900727,0.76236343,0.92466336,0.9367857,0.047920488,-0.7846419,0.9371724
0.61175954,0.79301757,0.76667196,-0.49631697,-0.24474369,-0.7732497,0.79182416,-0.06913198,0.3775263,0.62451583,0.3709948,-0.14114402,0.39871153,0.26210678
0.67171305,0.72227293,0.029412149,-0.6727239,0.657671,-0.49153516,-0.7163105,-0.43319085,0.8071643,-0.7618435,-0.47698975,0.061516304,-0.93778974,0.30940938
-0.44777846,0.6721305,0.82419676,-0.51783514,-0.53261334,-0.74783754,0.4786646,-0.25997594,-0.030511765,0.84671086,0.77367944,0.45471528,0.6521502,0.6494929
-0.28562236,0.69806564,0.920332,-0.5697662,0.7056756,0.45130363,-0.20854032,-0.3816938,-0.21977273,-0.73289627,-0.2941248,0.9013421,-0.24154726,-0.33375794
0.22717762,-0.8399787,-0.47776622,0.53723156,-0.7201217,-0.60799557,0.39311045,0.19740067,0.35993013,0.5885802,-0.6142636,-0.7302431,0.2625794,-0.47860712
-0.44584537,-0.66627634,0.9045045,0.35392508,0.118215494,0.41206396,-0.2148642,-0.62838984,0.21111058,0.011255758,-0.6967816,0.5866103,0.20522986,-0.782824
-0.27760914,-0.037318096,0.77605015,-0.18969908,-0.707861,-0.91074944,-0.73075515,-0.84078664,0.72021645,0.5028869,-0.18853194,0.2239197,-0.33553562,0.23394744
0.18892136,-0.25322253,-0.76107764,-0.05741662,-0.31211364,-0.62648237,-0.794648,0.013941429,0.06920126,-0.8881813,-0.78869635,0.004564116,-0.80584115,-0.14354497
0.67409486,-0.052699126,-0.93855155,-0.41796702,0.22341205,-0.5136563,0.3587387,0.69779366,0.7937019,0.6393974,0.33126393,-0.8949454,-0.763617,0.73049015
0.22670887,0.709177,0.31111166,-0.8129027,0.7393947,0.020768339,0.87310845,0.52418107,0.82271874,0.97140324,0.93186957,-0.47472355,-0.13308601,0.8837392
0.08981034,-0.46718943,0.7435692,-0.02595846,0.72724485,0.5801719,-0.39465925,-0.4875992,0.6911263,-0.36633867,-0.7488466,0.33112827,-0.6733032,-0.6648557
0.95471215,0.86374927,-0.9583202,-0.09191991,0.6878542,0.14877616,0.09790952,0.31585202,0.6174668,-0.66421,0.5016152,-0.9398338,-0.79304826,0.68760395
0.6971688,-0.32235277,-0.8504493,0.5420185,-0.5241776,-0.4715806,-0.5394557,0.068267405,-0.26874998,-0.93586266,-0.8712579,-0.5414179,-0.49090543,-0.60926026
-0.5011864,-0.15427463,0.91642815,-0.2217429,0.0062545207,-0.12181231,0.530345,-0.5131468,0.66394854,0.9558208,0.642329,0.16132006,0.53675866,0.24632822
0.61785406,0.93893903,-0.8230646,-0.36597013,0.1521782,-0.36632693,-0.76509935,-0.3175481,-0.21820648,-0.8757878,0.6269646,-0.21782723,-0.64801365,0.8046032
0.19999334,0.7035132,-0.4073411,-0.41693392,-0.20180412,-0.63596797,-0.6162463,-0.043279473,-0.34823275,-0.8713332,-0.256534,0.41053802,-0.55389184,0.326239
-0.93733215,-0.8391974,-0.6854792,0.0787852,0.40892932,0.85834247,-0.70815504,0.34225732,-0.32152876,0.5588988,0.5812753,0.44957408,-0.17771505,0.5227156
0.4898238,-0.22747698,0.20865007,0.5707791,0.20592928,0.6311025,0.28040075,0.08665827,-0.57709765,-0.8765117,-0.8119204,0.1250879,0.30055976,-0.85753506
-0.567137,-0.52868885,0.56158507,-0.109911434,0.2856979,0.06383051,-0.91119367,-0.61606294,0.2403498,-0.8626326,-0.8545826,0.7954318,-0.80583644,-0.5517511
0.17368868,0.930065,0.038385157,-0.92650646,0.904875,0.13608703,-0.3111829,0.34336972,0.536135,-0.46954408,0.6122948,0.6382475,-0.9081593,0.8348955
0.24215607,0.909915,-0.016638704,-0.3476125,-0.48768955,-0.65774393,0.32525834,-0.12734742,-0.42215905,0.3544228,0.8666804,-0.10431009,0.5922103,0.79560894
0.75282776,0.5457884,0.84773916,-0.8575374,0.9070325,-0.09034079,0.8842109,0.20506462,0.9709754,0.9394234,0.41305786,-0.45906973,-0.7350645,0.42125422
0.43555978,0.6187544,-0.7769614,-0.08618425,0.7216458,0.6706786,-0.6938763,-0.12754275,0.069572456,-0.8043177,0.27373138,-0.24625632,-0.7255952,0.43977702
-0.44127643,0.82902753,-0.5738245,-0.6456443,-0.4208324,-0.6348972,0.57085466,0.47763857,-0.1967753,0.9459321,0.9761851,-0.30653074,0.60010314,0.9631805
0.5333882,0.53088325,-0.39745975,0.22038883,0.51944613,0.4323357,-0.8861313,-0.7000259,0.16976172,-0.93044674,-0.44237348,-0.035902563,-0.7618506,-0.13205878
-0.12401588,-0.90567386,-0.36300823,0.7476653,-0.27225515,0.31966272,-0.70572245,-0.49615645,0.3447918,-0.36445665,-0.8102953,-0.41994888,-0.30578226,-0.7234863
-0.6678233,-0.98640674,0.4532356,0.69959944,-0.77474636,-0.50518453,-0.57549816,-0.45102665,0.5816873,0.46416995,-0.9500228,-0.028904634,-0.12762949,-0.87831366
-0.13633943,0.3877223,0.3620936,-0.80011314,0.82254124,0.058909856,-0.6565091,0.05695166,0.60817546,-0.71109515,-0.52365905,0.73026365,-0.92763555,0.20639431
-0.7603869,0.2769545,0.7715047,0.32697767,0.5654622,0.8929455,-0.83574,-0.81538945,-0.5203734,-0.5280392,0.5290074,0.80150664,0.2720006,-0.00013973191
