
Nucleus Sphericity
 ==================== 
Nucleus Sphericity,Unit,Category,Time,Default Labels,CellID,ID,
0.640336,,Nucleus,1,TVC,1,100000000,
0.633673,,Nucleus,1,TVC,2,100000001,
0.632304,,Nucleus,1,TVC,3,100000002,
0.606118,,Nucleus,1,TVC,4,100000003,
0.648296,,Nucleus,1,TVC,5,100000004,
0.631934,,Nucleus,1,TVC,6,100000005,
0.623937,,Nucleus,1,ATM,0,100000006,
