
Nucleus Sphericity
 ==================== 
Nucleus Sphericity,Unit,Category,Time,Default Labels,CellID,ID,
0.614548,,Nucleus,1,ATM,0,100000000,
0.652535,,Nucleus,1,ATM,1,100000001,
0.616035,,Nucleus,1,TVC,4,100000004,
0.623801,,Nucleus,1,TVC,5,100000005,
0.630874,,Nucleus,1,TVC,6,100000006,
0.627031,,Nucleus,1,TVC,8,100000008,
