
Nucleus Relative To Cell Distance from Origin
 ==================== 
Nucleus Relative To Cell Distance from Origin,Unit,Category,Collection,Time,Default Labels,CellID,ID,
2.71513,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,ATM,0,100000000,
4.00313,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,ATM,1,100000001,
9.87177,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,ATM,3,100000003,
3.77985,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,ATM,4,100000004,
1.59946,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,TVC,2,100000002,
1.51683,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,TVC,5,100000005,
