
Nucleus Sphericity
 ==================== 
Nucleus Sphericity,Unit,Category,Time,Default Labels,CellID,ID,
0.644369,,Nucleus,1,TVC,1,100000000,
0.645183,,Nucleus,1,TVC,2,100000001,
0.643185,,Nucleus,1,TVC,3,100000002,
0.626396,,Nucleus,1,TVC,4,100000003,
0.608204,,Nucleus,1,ATM,5,100000004,
0.535479,,Nucleus,1,ATM,6,100000005,
